variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
aerodynamicresistancemethod,0,Internal use. Please DO NOT modify,None,Scalar
ah_min,"(2,)",Minimum QF values.,"`AHMin_WD`, `AHMin_WE`","2: {Weekday, Weekend}"
ah_slope_cooling,"(2,)",Cooling slope of QF calculation.,"`AHSlope_Cooling_WD`, `AHSlope_Cooling_WE`","2: {Weekday, Weekend}"
ah_slope_heating,"(2,)",Heating slope of QF calculation.,"`AHSlope_Heating_WD`, `AHSlope_Heating_WE`","2: {Weekday, Weekend}"
ahprof_24hr,"(24, 2)",Hourly profile values used in energy use calculation.,"`EnergyUseProfWD`, `EnergyUseProfWE`","24: hours of a day

        2: {Weekday, Weekend}"
air_ext_lw,0,Internal use. Please DO NOT modify,None,Scalar
air_ext_sw,0,Internal use. Please DO NOT modify,None,Scalar
air_ssa_lw,0,Internal use. Please DO NOT modify,None,Scalar
air_ssa_sw,0,Internal use. Please DO NOT modify,None,Scalar
alb,"(7,)",Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax`,"7: { `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil`, `Water`}"
albdectr_id,0,Albedo of deciduous surface `DecTr` on day 0 of run,`albDecTr0`,Scalar
albevetr_id,0,Albedo of evergreen surface `EveTr` on day 0 of run,`albEveTr0`,Scalar
albgrass_id,0,Albedo of grass surface `Grass` on day 0 of run,`albGrass0`,Scalar
albmax_dectr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax`,Scalar
albmax_evetr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax`,Scalar
albmax_grass,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax`,Scalar
albmin_dectr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin`,Scalar
albmin_evetr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin`,Scalar
albmin_grass,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin`,Scalar
