Column,Name ,Description,
1,Year,Year [YYYY],
2,DOY,Day of year [DOY],
3,Hour,Hour [H],
4,Min,Minute [M],
5,Dectime,Decimal time [-],
6,alb,Albedo at top-of-canopy. Average of diffuse and direct albedos weighted by the amount of diffuse and direct shortwave radiation.,
7,emis,Emissivity at top-of-canopy ,
8,Lemission,Longwave upward emission at top-of-canopy [Wm-2],
9,Lup,Longwave upward (emission+reflected) at top-of-canopy [Wm-2],
10,Kup,Shortwave upward (reflected) at top-of-canopy [Wm-2],
11,Qn,Net all-wave radiation at top-of-canopy [Wm-2],
12,LCAAbs1,Longwave absorption rate in clear-air part of layer 1 [Wm-2],
13,LCAAbs2,Longwave absorption rate in clear-air part of layer 2 [Wm-2],
14,LCAAbs3,Longwave absorption rate in clear-air part of layer 3 [Wm-2],
15,LCAAbs4,Longwave absorption rate in clear-air part of layer 4 [Wm-2],
16,LCAAbs5,Longwave absorption rate in clear-air part of layer 5 [Wm-2],
17,LCAAbs6,Longwave absorption rate in clear-air part of layer 6 [Wm-2],
18,LCAAbs7,Longwave absorption rate in clear-air part of layer 7 [Wm-2],
19,LCAAbs8,Longwave absorption rate in clear-air part of layer 8 [Wm-2],
20,LCAAbs9,Longwave absorption rate in clear-air part of layer 9 [Wm-2],
21,LCAAbs10,Longwave absorption rate in clear-air part of layer 10 [Wm-2],
22,LCAAbs11,Longwave absorption rate in clear-air part of layer 11 [Wm-2],
23,LCAAbs12,Longwave absorption rate in clear-air part of layer 12 [Wm-2],
24,LCAAbs13,Longwave absorption rate in clear-air part of layer 13 [Wm-2],
25,LCAAbs14,Longwave absorption rate in clear-air part of layer 14 [Wm-2],
26,LCAAbs15,Longwave absorption rate in clear-air part of layer 15 [Wm-2],
27,LWallNet1,Net longwave flux into walls in layer 1 [Wm-2],
28,LWallNet2,Net longwave flux into walls in layer 2 [Wm-2],
29,LWallNet3,Net longwave flux into walls in layer 3 [Wm-2],
30,LWallNet4,Net longwave flux into walls in layer 4 [Wm-2],
31,LWallNet5,Net longwave flux into walls in layer 5 [Wm-2],
32,LWallNet6,Net longwave flux into walls in layer 6 [Wm-2],
33,LWallNet7,Net longwave flux into walls in layer 7 [Wm-2],
34,LWallNet8,Net longwave flux into walls in layer 8 [Wm-2],
35,LWallNet9,Net longwave flux into walls in layer 9 [Wm-2],
36,LWallNet10,Net longwave flux into walls in layer 10 [Wm-2],
37,LWallNet11,Net longwave flux into walls in layer 11 [Wm-2],
38,LWallNet12,Net longwave flux into walls in layer 12 [Wm-2],
39,LWallNet13,Net longwave flux into walls in layer 13 [Wm-2],
40,LWallNet14,Net longwave flux into walls in layer 14 [Wm-2],
41,LWallNet15,Net longwave flux into walls in layer 15 [Wm-2],
42,LRfNet1,Net longwave flux into roofs in layer 1 [Wm-2],
43,LRfNet2,Net longwave flux into roofs in layer 2 [Wm-2],
44,LRfNet3,Net longwave flux into roofs in layer 3 [Wm-2],
45,LRfNet4,Net longwave flux into roofs in layer 4 [Wm-2],
46,LRfNet5,Net longwave flux into roofs in layer 5 [Wm-2],
47,LRfNet6,Net longwave flux into roofs in layer 6 [Wm-2],
48,LRfNet7,Net longwave flux into roofs in layer 7 [Wm-2],
49,LRfNet8,Net longwave flux into roofs in layer 8 [Wm-2],
50,LRfNet9,Net longwave flux into roofs in layer 9 [Wm-2],
51,LRfNet10,Net longwave flux into roofs in layer 10 [Wm-2],
52,LRfNet11,Net longwave flux into roofs in layer 11 [Wm-2],
53,LRfNet12,Net longwave flux into roofs in layer 12 [Wm-2],
54,LRfNet13,Net longwave flux into roofs in layer 13 [Wm-2],
55,LRfNet14,Net longwave flux into roofs in layer 14 [Wm-2],
56,LRfNet15,Net longwave flux into roofs in layer 15 [Wm-2],
57,LRfIn1,Longwave flux into roofs in layer 1 [Wm-2],
58,LRfIn2,Longwave flux into roofs in layer 2 [Wm-2],
59,LRfIn3,Longwave flux into roofs in layer 3 [Wm-2],
60,LRfIn4,Longwave flux into roofs in layer 4 [Wm-2],
61,LRfIn5,Longwave flux into roofs in layer 5 [Wm-2],
62,LRfIn6,Longwave flux into roofs in layer 6 [Wm-2],
63,LRfIn7,Longwave flux into roofs in layer 7 [Wm-2],
64,LRfIn8,Longwave flux into roofs in layer 8 [Wm-2],
65,LRfIn9,Longwave flux into roofs in layer 9 [Wm-2],
66,LRfIn10,Longwave flux into roofs in layer 10 [Wm-2],
67,LRfIn11,Longwave flux into roofs in layer 11 [Wm-2],
