Year DOY Hour Min dir WS Tair RH press VPD Kdown Kup Ldown Lup QN Ustar QH QE L beta QF RES QS EF
2011 1 0 0 323.38 2.49 4.74 73.36 1019.22 2.28 0.00 0.65 330.80 344.53 -14.38 0.47 69.59 9.65 -186.26 7.71 57.48 -36.14 -66.36 0.12
2011 1 1 0 308.00 2.31 4.56 72.71 1018.89 2.30 0.00 0.73 330.04 343.92 -14.62 0.43 62.02 4.67 -154.37 7.45 54.96 -26.34 -53.42 0.07
2011 1 2 0 304.83 2.74 4.39 74.59 1018.50 2.12 0.00 0.62 330.10 343.24 -13.76 0.49 65.18 7.77 -220.17 8.40 62.33 -24.39 -54.56 0.11
2011 1 3 0 292.95 2.86 4.21 75.69 1018.40 2.00 0.00 0.70 329.31 342.44 -13.84 0.48 63.64 8.25 -205.63 7.71 59.61 -26.11 -55.39 0.11
2011 1 4 0 258.54 2.79 4.11 75.41 1018.07 2.01 0.00 0.68 328.71 342.22 -14.19 0.44 61.17 8.90 -162.06 7.03 58.36 -25.89 -54.50 0.12
2011 1 5 0 262.33 3.36 4.04 75.35 1017.43 2.01 0.00 0.65 329.27 342.01 -13.39 0.42 42.67 7.00 -198.24 6.80 58.69 -4.37 -28.98 0.14
2011 1 6 0 269.50 3.46 3.76 75.91 1017.04 1.92 0.00 0.57 328.88 341.29 -12.99 0.43 47.56 5.95 -197.34 5.06 61.19 -5.30 -31.30 0.10
2011 1 7 0 278.75 2.82 3.66 76.62 1017.01 1.85 0.00 0.62 328.75 340.64 -12.51 0.43 56.38 0.03 -166.86 nan 66.28 -2.63 -30.48 -0.00
2011 1 8 0 284.12 2.25 3.72 77.95 1017.12 1.75 0.00 0.69 328.34 340.47 -12.82 0.41 74.47 4.88 -107.23 10.88 76.50 -15.67 -50.66 0.04
2011 1 9 0 286.13 1.72 3.93 78.84 1017.30 1.71 0.83 0.89 328.54 340.84 -12.35 0.41 102.78 7.58 -76.36 16.45 96.91 -25.80 -72.09 0.07
2011 1 10 0 306.27 2.38 4.28 79.26 1017.47 1.72 7.58 1.64 330.06 342.32 -6.31 0.43 56.55 14.23 -162.00 4.44 127.38 50.29 4.29 0.20
2011 1 11 0 319.03 2.06 4.32 81.03 1017.70 1.57 20.73 2.94 330.86 342.99 5.67 0.36 71.41 2.48 -76.70 22.15 165.76 97.55 41.34 0.03
2011 1 12 0 330.31 2.18 4.80 82.29 1017.71 1.52 90.97 10.75 304.02 344.65 39.59 0.50 79.58 -59.12 -178.28 nan 184.61 208.95 163.53 -80.66
2011 1 13 0 342.94 2.17 5.20 82.65 1017.63 1.53 65.97 6.72 337.83 348.72 48.37 0.42 70.66 nan -126.19 nan 195.70 nan nan nan
